"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202310","6호선","약수","3","2","1308","268","1841","2412","4840","5815","7943","15221","6433","9007","5065","5268","5191","5306","5934","5159","5934","5452","5863","5178","6196","6114","7124","6324","9158","8484","12876","9698","6955","5895","5389","3741","5675","3224","4215","2912","2038","1833","383","525","0","0","0","0","0","0","20231103"
"202310","6호선","역촌","7","0","2510","379","5643","2777","16089","3117","16800","8329","9629","4989","6740","3586","5991","4940","6922","5676","6568","5570","5808","5399","5524","6663","5257","9288","5415","11818","5300","18039","3138","14562","2195","8387","1804","8017","1266","7216","666","5029","61","1349","0","0","0","0","0","0","20231103"
"202310","6호선","연신내","0","0","0","0","0","0","0","0","5","0","1","0","0","0","1","0","0","0","2","0","2","0","3","0","1","0","2","0","3","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","20231103"
"202310","6호선","월곡(동덕여대)","28","0","7496","874","13678","3776","39851","8034","47567","28851","26454","18865","19146","15629","17807","14711","18549","14223","19339","16101","20701","15699","18566","18245","22285","23774","22871","28536","26561","42386","14314","32685","10288","19518","9343","18303","6310","16994","3174","11012","495","2975","0","0","0","0","0","0","20231103"
"202310","6호선","월드컵경기장(성산)","0","0","976","1336","2874","3687","8395","5669","9267","12047","6115","19082","6632","32495","9534","35426","13839","32694","18056","36232","25373","38401","34575","26584","45224","20896","45124","20429","29183","26278","16836","20600","10791","6011","12000","3978","18974","3223","3201","1621","249","392","0","0","0","0","0","0","20231103"
"202310","6호선","응암","25","0","12323","1223","26675","6056","70552","9795","86543","17877","47868","14557","31504","14322","28883","15137","29057","18508","27868","19700","23838","22115","22786","29906","24139","36719","23210","48542","22280","76241","14494","59227","10658","38462","8943","32647","6560","29589","2701","19275","355","5654","0","0","1","0","0","0","20231103"
"202310","6호선","이태원","146","1","11642","1274","10634","8037","10855","11448","14499","28659","12510","25399","10981","19492","12032","17967","14346","21003","16524","22406","18785","21880","22777","22858","28174","26915","33234","31354","40234","37053","30665","32442","26487","25088","26952","22181","25951","19744","18121","15906","2325","5314","0","0","0","0","0","0","20231103"
"202310","6호선","증산(명지대앞)","39","3","8294","556","16324","3426","38500","5409","47306","11130","27820","9606","18408","8365","15724","9684","16694","10525","15694","12359","14045","13276","13313","16475","14114","21165","13613","28321","13224","41191","7636","33825","5766","20706","4503","19666","3639","17255","1627","10262","266","3238","0","0","0","0","0","0","20231103"
"202310","6호선","창신","12","0","2605","318","5105","2183","14555","5939","16509","5728","8875","3959","5637","3348","4947","3171","5021","3638","4914","3951","4209","3872","4350","4664","6562","5768","5538","7064","5161","9524","3187","7834","2878","4949","1753","4948","1200","4886","631","3040","92","867","0","0","0","0","0","0","20231103"
"202310","6호선","청구","9","0","1957","554","2779","2734","7324","6890","10226","22049","6872","11105","4931","4557","4964","4090","4628","4164","5290","4884","5210","4276","5547","5146","6696","5819","8178","6676","13774","8164","8838","5308","5503","3804","4188","3576","3512","3404","1740","2006","283","736","0","0","0","0","0","0","20231103"
"202310","6호선","태릉입구","18","0","4227","882","7127","3308","17761","4118","21503","9900","12127","8185","9415","6177","8955","8946","9969","7675","9084","8659","8535","9788","8738","10020","9938","12377","9463","15937","9769","23851","6105","19372","4993","11466","4363","11081","3737","10008","2117","8042","400","3473","0","2","0","0","0","0","20231103"
"202310","6호선","한강진","13","0","890","822","1634","9019","3376","20495","5596","39973","4988","28014","4259","22507","5342","22484","8000","23309","10563","30430","13463","24878","19912","25244","28484","26566","41508","26055","46564","27470","29236","12582","24760","4821","21548","3981","26865","3267","4162","2284","455","1783","0","141","0","0","0","0","20231103"
"202310","6호선","합정","22","2","4108","1531","6255","6624","13751","15787","19955","41474","15693","29251","13260","19260","14851","19512","17518","20821","18844","23997","21198","20964","23304","22967","26252","27085","33825","33270","47826","44859","32451","29252","29894","15770","32191","14098","27533","12913","15263","9352","2247","2360","0","0","0","0","0","0","20231103"
"202310","6호선","화랑대(서울여대입구)","18","0","6971","1117","21995","3622","58289","8306","54903","18469","28879","13287","19279","10146","17608","10112","17950","8886","17967","11020","15971","10443","17748","13029","20775","16765","20593","23510","16632","35721","8842","31506","5938","19441","4995","16904","3782","15622","1543","11181","180","3584","0","33","0","0","0","0","20231103"
"202310","6호선","효창공원앞","12","0","2732","615","5823","3926","17037","8207","26386","25760","16050","16118","10692","12871","10512","10473","11970","8845","13006","9732","11111","9637","12137","10097","16010","12329","17371","14570","24284","21523","10449","14636","7606","9020","7475","8149","5695","7422","2707","5325","466","1848","1","0","0","0","0","0","20231103"
"202310","7호선","가산디지털단지","688","7","7463","5849","9935","31118","22783","129888","27018","360504","20124","198162","18917","58344","23359","35832","30065","34954","34789","37315","40648","32071","52922","29467","76628","28253","199625","30916","287494","35753","114278","24451","65571","15789","49215","13443","26724","11835","11499","8372","1461","2895","3","2","0","0","0","0","20231103"
"202310","7호선","강남구청","21","1","1892","1886","4055","18284","7351","34565","10074","99510","9229","99017","9803","40974","11688","23963","14160","21926","17531","23489","21432","19685","27614","17785","33274","18177","50052","19883","85784","21028","52840","13776","33571","8849","31242","6975","21903","5786","9213","3863","1514","1685","0","0","0","0","0","0","20231103"
"202310","7호선","건대입구","43","1","4607","1099","5261","8384","13126","19465","19465","40138","16361","28828","14830","27541","16675","22977","18259","24424","20956","27249","23499","24155","28621","23200","32176","24627","41405","30959","36323","40595","26947","26346","28406","16547","24960","13540","21082","11315","11232","6904","1643","3482","0","212","1","1","0","0","20231103"
"202310","7호선","고속터미널","50","3","1227","2806","3523","21786","11919","37029","19075","50523","25694","37076","26184","30872","28926","27734","29534","25452","30870","29167","32344","26418","40293","22377","44726","22705","58889","24692","53749","25381","37449","16826","40940","10537","35978","9771","27926","5520","10209","3015","639","712","0","2","0","0","0","0","20231103"
"202310","7호선","공릉(서울과학기술대)","17","0","6658","1118","14639","4420","36052","11102","42046","24674","24925","19328","19356","14154","18686","12535","19553","15292","19348","17018","18392","16243","19831","19098","23151","22732","22560","29364","23331","41464","13968","35135","11399","20731","10857","18456","9152","17799","4785","11634","729","3844","0","0","0","0","0","0","20231103"
"202310","7호선","광명사거리","165","4","19636","6971","28375","11043","70925","16560","80221","24854","44431","23312","31465","23994","30010","26967","31917","28696","31962","31301","31035","32127","31478","36745","36993","42205","37607","51630","32481","74097","21892","56661","15043","32915","11470","28497","8551","23490","3566","14584","526","4058","0","6","0","0","0","0","20231103"
"202310","7호선","군자(능동)","55","0","9618","901","14749","6400","36850","10294","55207","27153","38672","17854","22943","12770","19798","12089","20833","12575","21123","14767","19845","15600","20466","19203","22905","21972","28285","29095","34922","42207","21160","33412","17680","21192","16937","19291","13018","16238","6991","10096","1163","3180","0","29","0","0","0","0","20231103"
"202310","7호선","남구로","168","7","18214","1767","14858","8913","28889","30805","33787","88353","24078","42161","16910","19470","15095","15068","16466","14141","16218","15476","14770","14222","17114","17485","21290","25060","43316","31739","68968","30688","29114","22145","16152","15612","11448","17002","7323","14486","3592","7515","465","1753","0","1","0","0","0","0","20231103"
"202310","7호선","남성","20","1","6491","960","14210","3817","38601","6889","55072","16398","34769","12743","21112","11789","18689","12175","19222","12336","18401","13499","15816","14641","15244","18792","16453","21585","15405","28392","15702","43113","9557","31089","7898","20792","7636","18341","5137","16159","2439","10312","362","2877","0","1","0","0","0","0","20231103"
"202310","7호선","내방","4","0","2477","1569","8041","11471","18596","25105","27909","78464","21644","44623","16988","20596","17200","16251","18157","17737","19282","18398","19944","16986","22022","17841","26373","19105","40659","24676","65659","31846","25530","20524","18423","12950","17325","11712","11825","9493","4478","6332","662","3055","0","242","0","0","0","0","20231103"
"202310","7호선","노원","57","2","8159","2625","16186","7687","37792","16958","41567","44507","30491","41888","28436","31373","31322","32409","34858","34119","35078","38078","36645","37515","41192","39979","43837","43580","44643","48982","46263","59543","30139","50666","29036","25470","24008","21544","21659","17850","8371","12445","1265","3809","0","3","0","0","0","0","20231103"
"202310","7호선","논현","27","1","2786","1126","4425","15591","8902","39017","13288","96155","11870","80815","11427","32622","13118","21102","14599","20225","16753","21774","20483","20707","24913","19237","31587","21160","57290","25401","90702","31217","50215","18398","33874","11714","34515","10013","30731","7575","15655","5483","2553","2275","0","0","0","0","0","0","20231103"
"202310","7호선","대림(구로구청)","53","4","12532","783","8242","4002","15386","7242","22242","18205","17665","14190","13724","18929","13620","20230","15491","16579","16976","17052","18047","16146","19010","17087","19747","19917","20626","25367","20547","24304","13790","15651","10854","11469","8786","13497","6690","10224","3539","5056","409","1134","0","1","0","0","0","0","20231103"
"202310","7호선","도봉산","73","0","5765","1084","17799","5588","48486","9635","41398","17903","22422","20650","14366","19791","13354","16600","14134","15519","13992","15478","14409","14493","16098","16483","18508","19180","15656","23567","13344","36203","6639","37537","4692","23142","3136","20345","2562","17655","860","11421","98","4596","0","111","0","0","0","0","20231103"
"202310","7호선","뚝섬유원지","12","1","5196","729","10214","4170","22865","7021","30980","13737","21955","10461","13659","9561","11411","11473","12079","14360","12390","18077","13053","20247","15598","24208","19337","29536","22182","40042","25890","59510","25625","54390","45564","19312","30634","15278","19210","12727","8612","6390","800","1739","0","2","0","0","0","0","20231103"
"202310","7호선","마들","24","1","11105","1337","26108","3307","62878","8315","61236","11674","32906","10504","24072","10178","21710","11201","23096","12783","19536","14336","16759","16371","16810","20241","16235","24815","14171","30682","12941","46044","7807","45852","5593","26468","3916","22839","3133","21220","1385","13338","165","4132","0","0","0","0","0","0","20231103"
"202310","7호선","먹골","21","0","8010","669","14161","3188","34970","6175","44078","15546","25962","10457","18085","9201","16420","10114","16708","11779","15722","12954","14141","12972","14347","16846","15118","21721","15207","27272","16143","38055","10500","32536","7798","20596","6055","17362","4701","15716","2271","9741","364","2698","0","173","0","0","0","0","20231103"
"202310","7호선","면목","100","1","13975","898","23468","5697","55415","9127","69769","29670","40888","19199","25940","16301","23038","14270","24720","17868","22969","18634","20233","18959","21422","24042","25848","31625","22965","37868","21560","53067","16298","47652","9912","28437","7944","25309","5796","23371","2632","13454","325","4296","0","0","0","0","0","0","20231103"
"202310","7호선","반포","1","0","1078","1153","2846","14001","8157","12600","11409","18838","8685","16017","7010","10134","7061","9795","8833","9796","8722","10072","9729","9144","12155","9293","19705","9786","18303","10335","17874","12348","12148","7688","9866","5135","10162","4440","6664","3980","2326","2364","280","712","0","0","0","0","0","0","20231103"
"202310","7호선","보라매","20","0","4057","892","6956","2865","17008","8295","24643","20393","15361","10315","9838","7862","9346","8273","10001","9440","10073","8936","10140","8906","10019","9850","11983","12577","13618","16818","17651","23807","7986","17754","7116","11196","5988","10157","5356","8988","2062","5945","332","2082","0","13","0","0","0","0","20231103"
